Plugin Type,Plugin Name,PluginName EN,Description EN,Description FA,Path
h5plib,v127,,v127 h5plib plugin,پلاگین v127,h5p/h5plib/v127
paygw,paypal,PayPal,PayPal payment gateway,درگاه پرداخت PayPal,payment/gateway/paypal
smsgateway,aws,AWS,AWS SNS SMS gateway - NEW 4.5,درگاه SMS آمازون - جدید ۴.۵,sms/gateway/aws
atto,accessibilitychecker,,,,lib/editor/atto/plugins/accessibilitychecker
atto,accessibilityhelper,,,,lib/editor/atto/plugins/accessibilityhelper
atto,align,,,,lib/editor/atto/plugins/align
atto,backcolor,,,,lib/editor/atto/plugins/backcolor
atto,bold,,,,lib/editor/atto/plugins/bold
atto,charmap,,,,lib/editor/atto/plugins/charmap
atto,clear,,,,lib/editor/atto/plugins/clear
atto,collapse,,,,lib/editor/atto/plugins/collapse
atto,emojipicker,,,,lib/editor/atto/plugins/emojipicker
atto,emoticon,,Emoticon - text to image emoticons,,lib/editor/atto/plugins/emoticon
atto,equation,,,,lib/editor/atto/plugins/equation
atto,fontcolor,,,,lib/editor/atto/plugins/fontcolor
atto,h5p,,H5P content bank type,,lib/editor/atto/plugins/h5p
atto,html,,HTML block - custom HTML content,,lib/editor/atto/plugins/html
atto,image,,,,lib/editor/atto/plugins/image
atto,indent,,,,lib/editor/atto/plugins/indent
atto,italic,,,,lib/editor/atto/plugins/italic
atto,link,,,,lib/editor/atto/plugins/link
atto,managefiles,,,,lib/editor/atto/plugins/managefiles
atto,media,,,,lib/editor/atto/plugins/media
atto,noautolink,,,,lib/editor/atto/plugins/noautolink
atto,orderedlist,,,,lib/editor/atto/plugins/orderedlist
atto,recordrtc,,,,lib/editor/atto/plugins/recordrtc
atto,rtl,,,,lib/editor/atto/plugins/rtl
atto,strike,,,,lib/editor/atto/plugins/strike
atto,subscript,,,,lib/editor/atto/plugins/subscript
atto,superscript,,,,lib/editor/atto/plugins/superscript
atto,table,,,,lib/editor/atto/plugins/table
atto,title,,,,lib/editor/atto/plugins/title
atto,underline,,,,lib/editor/atto/plugins/underline
atto,undo,,,,lib/editor/atto/plugins/undo
atto,unorderedlist,,,,lib/editor/atto/plugins/unorderedlist
tiny,accessibilitychecker,,,,lib/editor/tiny/plugins/accessibilitychecker
tiny,aiplacement,,,,lib/editor/tiny/plugins/aiplacement
tiny,autosave,,,,lib/editor/tiny/plugins/autosave
tiny,equation,,,,lib/editor/tiny/plugins/equation
tiny,h5p,,H5P content bank type,,lib/editor/tiny/plugins/h5p
tiny,html,,HTML block - custom HTML content,,lib/editor/tiny/plugins/html
tiny,link,,,,lib/editor/tiny/plugins/link
tiny,media,,,,lib/editor/tiny/plugins/media
tiny,noautolink,,,,lib/editor/tiny/plugins/noautolink
tiny,premium,,,,lib/editor/tiny/plugins/premium
tiny,recordrtc,,,,lib/editor/tiny/plugins/recordrtc
